rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,zone_pass,total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,hard_zone_contacts,retry_fallback,seam_worst,zones_in_search,leaked_procs,log
1,off,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,1,1027.0,989.0,35.0,968.3,1969x489x120,32.05,6.19,98,828.5,0.631,0.0,98.2,maximum thrust,,0,4.547e-13,2,0,path_manager_20260811_081737.log
1,on,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,1,1065.0,1022.0,40.0,1000.5,1969x489x120,32.05,6.2,101,828.1,0.726,0.0,92.6,maximum thrust,,0,6.431e-13,2,0,path_manager_20260811_081756.log
1,off,r2_high_altitude_probe,,0,0,CLEAN,,,513.0,317.0,194.0,301.9,537x950x98,32.25,10.14,98,482.7,0.579,0.0,94.3,maximum thrust,,0,9.095e-13,0,0,path_manager_20260811_081816.log
1,on,r2_high_altitude_probe,,0,0,CLEAN,,,528.0,330.0,196.0,315.1,537x950x98,32.25,10.14,98,482.7,0.579,0.0,94.3,maximum thrust,,0,9.095e-13,0,0,path_manager_20260811_081828.log
1,off,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,1,,,,1138.8,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,,2,,6,0,path_manager_20260811_081839.log
1,on,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,1,,,,1147.3,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,,2,,6,0,path_manager_20260811_081927.log
1,off,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,1,6166.0,642.0,5522.0,609.2,356x718x134,36.89,8.0,159,326.8,0.29,0.4,101.9,bank angle,,1,9.095e-13,9,0,path_manager_20260811_082012.log
1,on,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,1,5868.0,654.0,5211.0,622.2,356x718x134,36.89,8.0,159,326.9,0.285,0.4,101.9,bank angle,,1,9.095e-13,9,0,path_manager_20260811_082036.log
1,off,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,671.9,467x763x125,34.29,7.1,,,,,5492.0,,,3,,7,0,path_manager_20260811_082059.log
1,on,r3_mountain_terrain_following,r3_dense_overlap,7,7,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,706.1,467x763x125,34.29,7.1,,,,,5492.0,,,3,,7,0,path_manager_20260811_082118.log
1,off,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,1,10433.0,326.0,10105.0,308.4,279x763x125,34.29,7.75,141,322.3,0.083,0.8,104.6,bank angle,,0,1.017e-12,1,0,path_manager_20260811_082138.log
1,on,r3_mountain_terrain_following,r3_goal_in_zone,1,1,CLEAN,,1,10200.0,327.0,9871.0,309.4,279x763x125,34.29,7.75,141,322.3,0.083,0.8,104.6,bank angle,,0,1.017e-12,1,0,path_manager_20260811_082205.log
1,off,r3_mountain_terrain_following,r3_mixed_terrain_zones,5,7,CLEAN,,2,9844.0,1478.0,8364.0,1449.7,317x740x126,34.67,6.62,162,320.3,0.179,1.6,102.6,bank angle,,1,6.431e-13,5,0,path_manager_20260811_082235.log
1,on,r3_mountain_terrain_following,r3_mixed_terrain_zones,5,7,CLEAN,,2,10272.0,1515.0,8196.0,1486.3,317x740x126,34.67,6.62,162,320.6,0.179,1.6,102.6,bank angle,,3,4.441e-16,5,0,path_manager_20260811_082303.log
1,off,r3_mountain_terrain_following,r3_multiple_zones,3,4,CLEAN,,1,845.0,471.0,372.0,455.6,423x696x132,36.34,8.64,112,238.6,0.324,0.0,98.3,maximum thrust,,1,2.484e-16,3,0,path_manager_20260811_082331.log
1,on,r3_mountain_terrain_following,r3_multiple_zones,3,4,CLEAN,,1,984.0,467.0,515.0,451.8,423x696x132,36.34,8.58,122,238.6,0.29,0.0,97.4,bank angle,,1,1.017e-12,3,0,path_manager_20260811_082349.log
1,off,r3_mountain_terrain_following,r3_nested_zones,4,4,CLEAN,,1,1320.0,810.0,508.0,779.2,463x940x111,30.14,7.68,95,289.3,0.352,0.0,97.8,lift coefficient,,1,4.547e-13,4,0,path_manager_20260811_082408.log
1,on,r3_mountain_terrain_following,r3_nested_zones,4,4,CLEAN,,1,1788.0,806.0,981.0,774.6,463x940x111,30.14,7.68,95,288.2,0.343,0.0,99.7,bank angle,,1,1.017e-12,4,0,path_manager_20260811_082426.log
1,off,r3_mountain_terrain_following,r3_single_large_zone,1,1,REJECTED,segment 3/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,497.0,508x896x117,32.03,3.79,,,,,0.0,,,3,,1,0,path_manager_20260811_082446.log
1,on,r3_mountain_terrain_following,r3_single_large_zone,1,1,REJECTED,segment 2/3 failed (merge retries exhausted); single-shot fallback failed too,1,,,,495.6,508x896x117,32.03,3.79,,,,,0.0,,,5,,1,0,path_manager_20260811_082505.log
1,off,r4_long_range_traverse,r4_traverse_chain,10,10,CLEAN,,1,3567.0,2203.0,1348.0,2124.7,2377x458x128,35.25,8.71,467,1904.4,0.364,0.0,100.3,maximum thrust,,0,9.095e-13,10,0,path_manager_20260811_082524.log
