rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,plan_mode,zone_pass,plan_total_ms,chain_total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,risk_max,risk_exposure_s,hard_zone_contacts,hard_zone_contact_s,soft_zone_contacts,zone_policy_measurable,zone_sample_dt,obstacles_expected,obstacles_added,obstacles_deferred,obstacles_skipped,retry_fallback,seam_worst,zones_in_search,leaked_procs,yaw_seed,standoff_zone_contacts,zone_clearance_qmin,plan_outcome,plan_reason,yaw_seed_mode,hard_zone_qmin,hard_zone_t0,hard_zone_t1,hard_zone_runs,log,log_src
1,off,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,chain,1,1038.0,1039.0,987.0,48.0,966.4,1969x489x120,32.05,6.17,100,827.8,0.719,0.0,93.6,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,5,5,0,0,0,4.547e-13,2,0,425182681,0,1.05045,,,FIXED,,,,,off_r1_coastal_terrain_following_r1_dynamic_surface_obstacles_r1.log,path_manager_20260812_074042.log
1,on,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,chain,1,1053.0,1053.0,1004.0,45.0,983.1,1969x489x120,32.05,6.17,100,827.8,0.719,0.0,93.6,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,5,5,0,0,0,4.547e-13,2,0,425182681,0,1.05045,,,FIXED,,,,,on_r1_coastal_terrain_following_r1_dynamic_surface_obstacles_r1.log,path_manager_20260812_074102.log
1,direct_off,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,direct,1,1858.0,,,,754.9,1969x489x120,32.05,6.17,,,0.711,0.0,98.8,load factor,0.0000,0.0,0,0.0,0,true,0.10,5,5,0,0,2,,2,0,425182681,0,1.05065,DEGRADED,auto-N below threshold (phase mode: direct),FIXED,,,,,direct_off_r1_coastal_terrain_following_r1_dynamic_surface_obstacles_r1.log,path_manager_20260812_074121.log
1,off,r2_high_altitude_probe,,0,0,CLEAN,,chain,,510.0,511.0,310.0,198.0,295.0,537x950x98,32.25,10.14,98,482.7,0.579,0.0,94.3,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,0,,,,0,9.095e-13,0,0,522859037,0,,,,FIXED,,,,,off_r2_high_altitude_probe_nozone_r1.log,path_manager_20260812_074142.log
1,on,r2_high_altitude_probe,,0,0,CLEAN,,chain,,520.0,520.0,319.0,199.0,304.0,537x950x98,32.25,10.14,98,482.7,0.579,0.0,94.3,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,0,,,,0,9.095e-13,0,0,522859037,0,,,,FIXED,,,,,on_r2_high_altitude_probe_nozone_r1.log,path_manager_20260812_074154.log
1,direct_off,r2_high_altitude_probe,,0,0,CLEAN,,direct,,645.0,,,,140.7,537x950x98,32.25,10.14,,,0.577,0.0,94.8,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,0,,,,2,,0,0,522859037,0,,DEGRADED,auto-N below threshold (phase mode: direct),FIXED,,,,,direct_off_r2_high_altitude_probe_nozone_r1.log,path_manager_20260812_074205.log
1,off,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,direct,1,29173.0,,,,1124.9,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,0.0000,0.0,0,0.0,0,true,0.10,6,6,0,0,2,,6,0,1512036663,0,0.35307,DEGRADED,2 segments failed,FIXED,,,,,off_r2_ridge_crossing_r2_ridge_gauntlet_r1.log,path_manager_20260812_074217.log
1,on,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,direct,1,26381.0,,,,1119.8,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,0.0000,0.0,0,0.0,0,true,0.10,6,6,0,0,2,,6,0,1512036663,0,0.35307,DEGRADED,2 segments failed,FIXED,,,,,on_r2_ridge_crossing_r2_ridge_gauntlet_r1.log,path_manager_20260812_074305.log
1,direct_off,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,direct,1,22736.0,,,,1142.0,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,0.0000,0.0,0,0.0,0,true,0.10,6,6,0,0,2,,6,0,1512036663,0,0.35307,DEGRADED,auto-N below threshold (phase mode: direct),FIXED,,,,,direct_off_r2_ridge_crossing_r2_ridge_gauntlet_r1.log,path_manager_20260812_074350.log
1,off,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,chain,1,6238.0,6238.0,646.0,5589.0,613.1,356x718x134,36.89,8.0,159,326.8,0.29,0.4,101.9,bank angle,0.0000,0.0,0,0.0,0,true,0.10,10,10,0,0,1,9.095e-13,9,0,69144235,0,0.39104,DEGRADED,"phase handoffs not found (departure idx -1, arrival idx -1) — N kept, balanced j",FIXED,,,,,off_r3_mountain_terrain_following_r3_dense_corridor_r1.log,path_manager_20260812_074431.log
