rep,arm,mission,scenario,zones_installed,obstacles_installed,outcome,reason,plan_mode,zone_pass,plan_total_ms,chain_total_ms,frontend_ms,max_solve_ms,eikonal_ms,grid,ceiling_u,geo_z_max_u,pieces,flight_s,min_agl_u,env_viol_pct,env_peak_pct,env_peak_limit,risk_max,risk_exposure_s,hard_zone_contacts,hard_zone_contact_s,soft_zone_contacts,zone_policy_measurable,zone_sample_dt,obstacles_expected,obstacles_added,obstacles_deferred,obstacles_skipped,retry_fallback,seam_worst,zones_in_search,leaked_procs,log,log_src
1,off,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,REJECTED,"stitched flight is unflyable (hard-zone contact; ) — whole-flight evaluation, which no per-solve audit performs",,1,1050.0,,,,991.9,1969x489x120,32.05,6.19,,,,0.0,0.0,,0.0000,0.0,21,2.1,0,true,0.10,5,5,0,0,0,3.140e-16,2,0,off_r1_coastal_terrain_following_r1_dynamic_surface_obstacles_r1.log,path_manager_20260811_145752.log
1,on,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,chain,1,1033.0,1033.0,991.0,39.0,970.7,1969x489x120,32.05,6.19,100,827.9,0.63,0.0,93.8,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,5,5,0,0,0,4.547e-13,2,0,on_r1_coastal_terrain_following_r1_dynamic_surface_obstacles_r1.log,path_manager_20260811_145812.log
1,direct_off,r1_coastal_terrain_following,r1_dynamic_surface_obstacles,2,5,CLEAN,,direct,1,1847.0,,,,753.0,1969x489x120,32.05,6.17,,,0.697,0.0,98.5,load factor,0.0000,0.0,0,0.0,0,true,0.10,5,5,0,0,2,,2,0,direct_off_r1_coastal_terrain_following_r1_dynamic_surface_obstacles_r1.log,path_manager_20260811_145832.log
1,off,r2_high_altitude_probe,,0,0,CLEAN,,chain,,525.0,525.0,325.0,198.0,309.5,537x950x98,32.25,10.14,98,482.7,0.579,0.0,94.3,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,0,,,,0,9.095e-13,0,0,off_r2_high_altitude_probe_nozone_r1.log,path_manager_20260811_145852.log
1,on,r2_high_altitude_probe,,0,0,CLEAN,,chain,,529.0,529.0,330.0,197.0,314.8,537x950x98,32.25,10.14,98,482.7,0.579,0.0,94.3,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,0,,,,0,9.095e-13,0,0,on_r2_high_altitude_probe_nozone_r1.log,path_manager_20260811_145904.log
1,direct_off,r2_high_altitude_probe,,0,0,CLEAN,,direct,,667.0,,,,153.3,537x950x98,32.25,10.14,,,0.577,0.0,94.8,maximum thrust,0.0000,0.0,0,0.0,0,true,0.10,0,,,,2,,0,0,direct_off_r2_high_altitude_probe_nozone_r1.log,path_manager_20260811_145916.log
1,off,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,direct,1,28657.0,,,,1128.5,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,0.0000,0.0,0,0.0,0,true,0.10,6,6,0,0,2,,6,0,off_r2_ridge_crossing_r2_ridge_gauntlet_r1.log,path_manager_20260811_145928.log
1,on,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,direct,1,26465.0,,,,1102.9,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,0.0000,0.0,0,0.0,0,true,0.10,6,6,0,0,2,,6,0,on_r2_ridge_crossing_r2_ridge_gauntlet_r1.log,path_manager_20260811_150015.log
1,direct_off,r2_ridge_crossing,r2_ridge_gauntlet,6,6,CLEAN,,direct,1,23367.0,,,,1132.4,726x1139x124,34.28,10.28,,,0.29,0.0,99.2,bank angle,0.0000,0.0,0,0.0,0,true,0.10,6,6,0,0,2,,6,0,direct_off_r2_ridge_crossing_r2_ridge_gauntlet_r1.log,path_manager_20260811_150100.log
1,off,r3_mountain_terrain_following,r3_dense_corridor,9,10,CLEAN,,chain,1,6047.0,6047.0,628.0,5416.0,596.2,356x718x134,36.89,8.0,159,326.8,0.29,0.4,101.9,bank angle,0.0000,0.0,0,0.0,0,true,0.10,10,10,0,0,1,9.095e-13,9,0,off_r3_mountain_terrain_following_r3_dense_corridor_r1.log,path_manager_20260811_150142.log
